brand,brand_tier,category,product_name,url,price,mrp,discount_pct,rating,review_count,size,tags,scraped_at
Vedix,Mid / Personalized,Anti-Hairfall Shampoo,Dhavath Shampoo With Bhringraj & Aloe Vera,https://www.vedix.com/products/dhavath-hairfall-shampoo-for-women-store,399.0,,,4.5,,100 ml,Normal-Oily Scalp | Hairfall,2026-07-28 01:03:39
Vedix,Mid / Personalized,Anti-Hairfall Shampoo,Vikleda Shampoo With Triphala & Jojoba,https://www.vedix.com/products/vikleda-deep-conditioning-shampoo-for-dry-hair-for-women-store,399.0,,,4.5,,100 ml,Dry Scalp | Conditioning,2026-07-28 01:03:39
Vedix,Mid / Personalized,Anti-Dandruff Shampoo,Vardara Shampoo With Aloe Vera & Datura,https://www.vedix.com/products/vardara-deep-conditioning-shampoo-with-dandruff-care-for-dry-hair-for-women-store,399.0,,,4.4,,100 ml,Dry Scalp | Anti-Dandruff,2026-07-28 01:03:39
Vedix,Mid / Personalized,Anti-Dandruff Shampoo,Taritha Shampoo With Bhringraj & Pippali,https://www.vedix.com/products/taritha-hairfall-shampoo-with-dandruff-care-for-women-store,399.0,,,4.4,,100 ml,Normal Scalp | Anti-Dandruff,2026-07-28 01:03:39
Vedix,Mid / Personalized,Keshamrut - Hair Oil,Keshamrut Hair Oil With Bhringraj & Rosemary,https://www.vedix.com/products/keshamrut-herbs-infused-hair-oil,549.0,,,4.7,,200 ml,Hair Growth,2026-07-28 01:03:48
Vedix,Mid / Personalized,Oil,Ahuta Hair Oil With Banyan & Hibiscus,https://www.vedix.com/products/ahuta-root-stimulating-hair-oil-for-women,449.0,,,4.2,,100 ml,Normal-Oily Scalp | Straight Hair,2026-07-28 01:03:48
Vedix,Mid / Personalized,Oil,Jeevath Hair Oil With Hibiscus & Bhringraj,https://www.vedix.com/products/jeevath-root-stimulating-hair-oil-for-women,449.0,,,4.4,,100 ml,Normal-Oily Scalp | Straight Hair,2026-07-28 01:03:48
Vedix,Mid / Personalized,Oil,Niryath Hair Oil With Lotus & Licorice,https://www.vedix.com/products/niryath-root-stimulating-hair-oil-for-women,449.0,,,4.4,,100 ml,Dry Scalp | Straight Hair,2026-07-28 01:03:48
Vedix,Mid / Personalized,Oil,Vapra Hair Oil With Onion & Chamomile,https://www.vedix.com/products/vapra-root-stimulating-hair-oil-for-women,449.0,,,4.4,,100 ml,Dry Scalp | Wavy Hair,2026-07-28 01:03:48
Vedix,Mid / Personalized,Oil,Vanya Hair Oil With Fenugreek & Sesame,https://www.vedix.com/products/vanya-root-stimulating-hair-oil-for-women,449.0,,,4.2,,100 ml,Dry Scalp | Curly Hair,2026-07-28 01:03:48
Vedix,Mid / Personalized,Oil,Praya Hair Oil With Lotus & Neem,https://www.vedix.com/products/praya-root-stimulating-hair-oil-for-women,449.0,,,4.2,,100 ml,Oily Scalp | Wavy/Curly Hair,2026-07-28 01:03:48
Vedix,Mid / Personalized,Hair Base Oil,Shvedan Hair Oil With Castor & Sesame,https://www.vedix.com/products/vedix-shvedan-hair-fall-oil-for-dry-scalp-with-castor-sesame-olive,449.0,,,4.3,,100 ml,Dry Scalp | Frizz Control,2026-07-28 01:03:48
Vedix,Mid / Personalized,Hair Base Oil,Viruj Hair Oil With Argan & Coconut,https://www.vedix.com/products/vedix-viruj-hair-fall-oil-for-normal-oily-scalp-with-coconut-argan-tea-tree,449.0,,,4.3,,100 ml,Normal-Oily Scalp,2026-07-28 01:03:48
Vedix,Mid / Personalized,Hair Base Oil,Tavas Hair Oil With Almond & Jasmine,https://www.vedix.com/products/vedix-tavas-non-sticky-hair-fall-oil-for-oily-scalp-with-coconut-jasmine-almond,359.0,,,4.2,,100 ml,Oily Scalp,2026-07-28 01:03:48
Vedix,Mid / Personalized,Anti-Dandruff Serum,Pratiti Hair Serum With Hibiscus & Datura,https://www.vedix.com/products/pratiti-hair-re-growth-dandruff-control-serum-severe-dandruff-with-dhatura-japa-nimbuka,849.0,,,4.3,,30 ml,Dandruff | Hair Growth,2026-07-28 01:03:55
Vedix,Mid / Personalized,Anti-Hairfall Serum,Samroha Hair Serum With Haritaki & Amla,https://www.vedix.com/products/samroha-advanced-hairgrowth-serum-for-women,599.0,,,4.4,,50 ml,Hair Growth,2026-07-28 01:03:55
Vedix,Mid / Personalized,Anti-Dandruff Serum,Nibhida Hair Serum With Lotus & Neem,https://www.vedix.com/products/nibhida-advanced-hairgrowth-serum-x-dandruff-care-for-women,599.0,,,4.6,,50 ml,Hairfall | Anti-Dandruff,2026-07-28 01:03:55
Vedix,Mid / Personalized,Serum,Vithan Advanced Hair Serum With Onion & Aloe Vera,https://www.vedix.com/products/vithan-advanced-hair-growth-serum,599.0,,,4.5,,40 ml,Moderate Hairfall,2026-07-28 01:03:55
Vedix,Mid / Personalized,Serum,Vithan Pro Hair Serum With Aloe Vera & Bhringraj,https://www.vedix.com/products/vithan-pro-hair-growth-serum,599.0,,,4.4,,40 ml,Severe Hairfall,2026-07-28 01:03:55
Vedix,Mid / Personalized,Serum,Nuyantra Advanced Hair Serum With Bhringraj & Bakuchi,https://www.vedix.com/products/nuyantra-advanced-hair-growth-serum-x-dandruff-care,599.0,,,4.5,,40 ml,Hairfall | Anti-Dandruff,2026-07-28 01:03:55
Vedix,Mid / Personalized,Serum,Nuyantra Pro Hair Serum With Neem & Tulasi,https://www.vedix.com/products/nuyantra-pro-hair-growth-serum-x-dandruff-care,549.0,,,4.6,,40 ml,Hairfall | Anti-Dandruff,2026-07-28 01:03:55
Vedix,Mid / Personalized,Hair Conditioner,Vartha Hair Conditioner With Rice Water & Mango Butter,https://www.vedix.com/products/vartha-hydrating-no-frizz-hair-conditioner-1,449.0,,,4.4,,100 ml,Frizz Control,2026-07-28 01:04:02
Vedix,Mid / Personalized,Hair Pack,Root Strenghtening Hair Pack With Onion & Fenugreek,https://www.vedix.com/products/root-strengthening-hair-pack,799.0,,,4.3,,100 gms,Hairfall,2026-07-28 01:04:12
Vedix,Mid / Personalized,Hair Mask,Druti Hair Mask With Jojoba & Aloe Vera,https://www.vedix.com/products/druti-sheacare-deep-nourish-hair-mask-for-dry-hair,599.0,,,4.3,,200 gms,Dry Hair | Anti-Dandruff,2026-07-28 01:04:12
Vedix,Mid / Personalized,Hair Mask,Pratida Hair Mask With Coconut & Shea Butter,https://www.vedix.com/products/pratida-shine-rebound-hydrating-hair-mask-for-coloured-chemically-treated-hair,599.0,,,4.3,,200 gms,Coloured Hair | Hydration,2026-07-28 01:04:12
Vedix,Mid / Personalized,Hair Mask,Niktha Hair Mask With Lemon &  Neem,https://www.vedix.com/products/niktha-vitc-oil-balance-hair-mask-for-greasy-hair,599.0,,,4.4,,200 gms,Oily Scalp | Anti-Dandruff,2026-07-28 01:04:12
Vedix,Mid / Personalized,Leave On Cream,Vartika Curl Cream With Murumuru Butter & Fenugreek,https://www.vedix.com/products/vartika-curl-retention-leave-on-cream,599.0,,,4.5,,100 gms,Curly Hair | Conditioning,2026-07-28 01:04:12
Vedix,Mid / Personalized,Cleanser,Anuva Face Wash With Oatmeal & Aloe Vera,https://www.vedix.com/products/vedix-anuva-moisturizing-face-wash-for-dry-skin-with-aloe-vera-oatmeal-vetiver,499.0,,,4.4,,60 ml,Dry Skin,2026-07-28 01:04:19
Vedix,Mid / Personalized,Cleanser,Drithi Face Wash With Amla & Sariva,https://www.vedix.com/products/vedix-drithi-ultra-gentle-face-wash-for-normal-skin-with-amla-glycerin-sariva,499.0,,,4.3,,60 ml,Normal Skin,2026-07-28 01:04:19
Vedix,Mid / Personalized,Cleanser,Anaha Face Wash With Lodhra & Neem,https://www.vedix.com/products/vedix-anaha-deep-cleansing-face-wash-for-oily-skin-with-neem-niacinaminde-lodhra,499.0,,,4.3,,60 ml,Oily Skin,2026-07-28 01:04:19
Vedix,Mid / Personalized,Moisturizer,Sthavi Face Cream With Aloe Vera & Lotus,https://www.vedix.com/products/sthavi-hydroplenish-moisturizing-facial-cream-with-kamala-kumari-usheera,599.0,,,4.3,,40 ml,Dry Skin,2026-07-28 01:04:28
Vedix,Mid / Personalized,Moisturizer,Niraj Face Gel With Yashtimadhu & Sariva,https://www.vedix.com/products/niraj-hydromatte-oil-free-face-gel-for-women,499.0,,,4.4,,40 ml,Normal Skin,2026-07-28 01:04:28
Vedix,Mid / Personalized,Moisturizer,Anudha Face Lotion With Lodhra & Manjistha,https://www.vedix.com/products/anudha-glow-restore-moisturizing-face-lotion-for-women,499.0,,,4.4,,40 ml,Oily Skin,2026-07-28 01:04:28
Vedix,Mid / Personalized,Active,Avas Face Serum With Lodhra & Manjishta,https://www.vedix.com/products/avas-spot-correcting-face-serum-with-lodhra-bakuchi,499.0,,,4.3,,25 ml,Dark Spots,2026-07-28 01:04:34
Vedix,Mid / Personalized,Active,Aloka Face Serum With Amla & Lemon,https://www.vedix.com/products/aloka-vc-brightening-face-serum-with-with-amalaki-jambira,499.0,,,4.4,,25 ml,Tan,2026-07-28 01:04:34
Vedix,Mid / Personalized,Active,Prastha Face Serum With Daruharidra & Yashtimadhu,https://www.vedix.com/products/prastha-firmrestore-face-serum-with-daruharidra-bakuchi,599.0,,,4.5,,25 ml,Ageing Skin,2026-07-28 01:04:34
Vedix,Mid / Personalized,Active,Prakhya Face Serum With Durva & Nimba,https://www.vedix.com/products/prakhya-acne-rescue-face-serum-with-vacha-kumari-acne,599.0,,,4.5,,25 ml,Acne,2026-07-28 01:04:34
Vedix,Mid / Personalized,Sunscreen,Tej Sunscreen With Bakuchi & Turmeric,https://www.vedix.com/products/vedix-tej-aqua-radiance-sunscreen-amla-bakuchi-turmeric,499.0,,,4.7,,50 gms,Tan,2026-07-28 01:04:42
Devrishi Ayurveda,Value / Mass Wellness,Digestive Care,Aam Guthli Churna (Mango Seed Powder) – Natural Digestive & Gut Health Support |  100g,https://devrishiayurveda.com/product/aam-guthli-churna-mango-seed-powder-natural-digestive-gut-health-support-100g/,100.0,,,,,,,2026-07-28 01:16:07
Devrishi Ayurveda,Value / Mass Wellness,Immunity,Amla Churna (Indian Gooseberry Powder) – Natural Vitamin C & Immunity Booster | 100g,https://devrishiayurveda.com/product/amla-churna-indian-gooseberry-powder-natural-vitamin-c-immunity-booster-100g/,80.0,,,,,,,2026-07-28 01:16:07
Devrishi Ayurveda,Value / Mass Wellness,Daily Wellness,Arjun Chhal Churna (Arjuna Bark Powder) – Natural Heart Health & Blood Pressure Support | 100g,https://devrishiayurveda.com/product/arjun-chhal-churna-arjuna-bark-powder-natural-heart-health-blood-pressure-support-100g/,105.0,,,,,,,2026-07-28 01:16:07
Devrishi Ayurveda,Value / Mass Wellness,Womens Wellness,Ashok Chhal Churna (Ashoka Bark Powder) – Women’s Health Support & Hormonal Balance | 100g,https://devrishiayurveda.com/product/ashok-chhal-churna-ashoka-bark-powder-womens-health-support-hormonal-balance-100g/,80.0,,,,,,,2026-07-28 01:16:07
Devrishi Ayurveda,Value / Mass Wellness,Immunity,"Ashwa Malt – Ayurvedic Malt for Stamina , Low Sperm Count & Performance Boost  – Only for Men",https://devrishiayurveda.com/product/ashwa-malt/,430.0,,,5.0,,,,2026-07-28 01:16:07
Devrishi Ayurveda,Value / Mass Wellness,Immunity,"Ashwagandha Churna – Natural Stress Relief, Strength & Immunity Booster |100g",https://devrishiayurveda.com/product/ashwagandha-churna-natural-stress-relief-strength-immunity-booster-100g/,160.0,,,,,,,2026-07-28 01:16:07
Devrishi Ayurveda,Value / Mass Wellness,Daily Wellness,"Asthi Gold Capsule – Ayurvedic Joint Pain Relief, Arthritis Support",https://devrishiayurveda.com/product/devrishi-asthi-gold-capsule-for-joint-pain/,210.0,,,5.0,,,,2026-07-28 01:16:07
Devrishi Ayurveda,Value / Mass Wellness,Digestive Care,Baelgiri Churna (Bael Fruit Powder) – Natural Digestive Support & Gut Health | 100g,https://devrishiayurveda.com/product/baelgiri-churna-bael-fruit-powder-natural-digestive-support-gut-health-100g/,100.0,,,,,,,2026-07-28 01:16:07
Devrishi Ayurveda,Value / Mass Wellness,Digestive Wellness,"Baheda Churna (Bibhitaki Powder) – Respiratory Health, Digestion & Detox Support |  100g",https://devrishiayurveda.com/product/baheda-churna-bibhitaki-powder-respiratory-health-digestion-detox-support-100g/,90.0,,,,,,,2026-07-28 01:16:07
Devrishi Ayurveda,Value / Mass Wellness,Daily Wellness,Bone Tone-Forte Granules – Natural Calcium Booster for Strong Bones (250g),https://devrishiayurveda.com/product/bone-tone-forte-joint-support-supplement-for-men-women-knee-pain-reilif-calcium-rich-hadjod-granules/,260.0,,,,,,,2026-07-28 01:16:07
Devrishi Ayurveda,Value / Mass Wellness,Singal Herbs Churna,"Brahmi Churna – Memory Booster, Brain Health & Stress Relief |  100g",https://devrishiayurveda.com/product/brahmi-churna-memory-booster-brain-health-stress-relief-100g/,100.0,,,,,,,2026-07-28 01:16:07
Devrishi Ayurveda,Value / Mass Wellness,Singal Herbs Churna,"Chopchini Churna (Chopchini Powder) – Joint Pain Relief, Skin Health & Detox Support | 100g",https://devrishiayurveda.com/product/chopchini-churna-chopchini-powder-joint-pain-relief-skin-health-detox-support-100g/,330.0,,,,,,,2026-07-28 01:16:07
Devrishi Ayurveda,Value / Mass Wellness,Daily Wellness,Cristo Nil Churan – Ayurvedic Kidney Stone Dissolver (50g),https://devrishiayurveda.com/product/crishto-nil-ayurvedic-churan-for-kideny-and-digestive-system/,210.0,,,,,,,2026-07-28 01:16:14
Devrishi Ayurveda,Value / Mass Wellness,Digestive Care,Devrishi Aloevera Swaras | Sugar-Free Ayurvedic Aloe Vera Juice for Digestion & Acidity – 1000 ml,https://devrishiayurveda.com/product/devrishi-aloevera-swaras-sugar-free-ayurvedic-aloe-vera-juice-for-digestion-acidity-1000-ml/,370.0,,,,,,,2026-07-28 01:16:14
